DIA,ESTADO / O.R.,NACIONALIDAD,RETORNADOS A SU PAÍS,DEPORTADOS,RETORNOS ASISTIDOS
17/01/2025,Ciudad de México,Colombia,1,1,0
17/01/2025,Oaxaca,Colombia,1,1,0
17/01/2025,Veracruz,El Salvador,1,1,0
17/01/2025,Veracruz,Guatemala,8,0,8
18/01/2025,Chiapas,Guatemala,5,0,5
18/01/2025,Ciudad de México,Colombia,1,0,1
18/01/2025,Ciudad de México,Guatemala,1,0,1
19/01/2025,Ciudad de México,Colombia,1,1,0
19/01/2025,Oaxaca,Alemania,1,0,1
19/01/2025,Veracruz,Estados Unidos de América,1,1,0
20/01/2025,Baja California,Guatemala,1,0,1
20/01/2025,Chiapas,Guatemala,3,0,3
20/01/2025,Ciudad de México,Colombia,1,0,1
20/01/2025,Oaxaca,Colombia,1,1,0
20/01/2025,Tabasco,Colombia,1,1,0
20/01/2025,Tabasco,Guatemala,29,5,24
21/01/2025,Chiapas,Guatemala,8,0,8
21/01/2025,Chiapas,Honduras,28,0,28
21/01/2025,Ciudad de México,Cuba,1,0,1
22/01/2025,Chiapas,Guatemala,10,0,10
22/01/2025,Chiapas,Honduras,17,0,17
22/01/2025,Tabasco,Guatemala,18,3,15
22/01/2025,Tabasco,Honduras,28,0,28
22/01/2025,Veracruz,Honduras,10,0,10
23/01/2025,Ciudad de México,Guatemala,3,0,3
23/01/2025,Ciudad de México,Honduras,1,0,1
23/01/2025,Tabasco,Colombia,2,2,0
23/01/2025,Veracruz,Ecuador,1,0,1
23/01/2025,Veracruz,El Salvador,4,0,4
23/01/2025,Veracruz,Guatemala,13,0,13
24/01/2025,Chiapas,Colombia,2,1,1
24/01/2025,Chiapas,Ecuador,1,0,1
24/01/2025,Chiapas,El Salvador,1,0,1
24/01/2025,Chiapas,Guatemala,5,0,5
24/01/2025,Chiapas,Honduras,75,0,75
24/01/2025,Ciudad de México,Ecuador,1,0,1
24/01/2025,Ciudad de México,Guatemala,1,0,1
24/01/2025,Tabasco,Colombia,1,1,0
25/01/2025,Baja California,Estados Unidos de América,3,3,0
25/01/2025,Chiapas,Ecuador,1,0,1
25/01/2025,Ciudad de México,Colombia,3,0,3
25/01/2025,Ciudad de México,República Bolivariana de Venezuela,1,0,1
25/01/2025,Oaxaca,Colombia,1,1,0
26/01/2025,Chiapas,Colombia,1,0,1
26/01/2025,Chiapas,Honduras,30,0,30
26/01/2025,Chiapas,República Dominicana,1,0,1
26/01/2025,Ciudad de México,Argentina,1,0,1
26/01/2025,Ciudad de México,Colombia,1,0,1
27/01/2025,Chiapas,República Bolivariana de Venezuela,1,0,1
27/01/2025,Ciudad de México,Guatemala,1,0,1
27/01/2025,Ciudad de México,Perú,1,0,1
27/01/2025,Tabasco,Colombia,1,1,0
27/01/2025,Veracruz,El Salvador,3,0,3
28/01/2025,Chiapas,Ecuador,1,0,1
28/01/2025,Chiapas,Guatemala,13,1,12
28/01/2025,Chiapas,Honduras,76,0,76
28/01/2025,Ciudad de México,Honduras,7,0,7
28/01/2025,Oaxaca,Colombia,1,1,0
28/01/2025,Tabasco,Guatemala,6,0,6
28/01/2025,Veracruz,Guatemala,20,0,20
29/01/2025,Chiapas,Cuba,4,0,4
29/01/2025,Chiapas,Guatemala,12,0,12
29/01/2025,Chiapas,Jordania,1,0,1
29/01/2025,Ciudad de México,Brasil,1,0,1
29/01/2025,Ciudad de México,Colombia,1,0,1
29/01/2025,Ciudad de México,Cuba,2,0,2
